方名,规范名,主治,大类类型,证型,功用,功用大类,功用小类,处方（处理）
正柴胡饮,正柴胡饮,外感风寒轻证。微恶风寒，发热，无汗，头痛身痛，舌苔薄白，脉浮。（本方常用于感冒、流行性感冒、疟疾初起以及妇女经期、妊娠、产后感冒等属外感风寒而气血不虚者。）,经行感冒,风寒证,解表散寒。,解表方,辛温解表,"柴胡（9克）,防风（3克）,陈皮（4.5克）,芍药（6克）,甘草（3克）,生姜（三五片）"
逍遥散,逍遥散,肝郁血虚，而致两胁作痛，寒热往来，头痛目眩，口燥咽干，神疲食少，月经不调，乳房作胀，脉弦而虚者。,经行情志异常,肝气郁结证,疏肝解郁，健脾和营。,和解方,调和肝脾,"柴胡（15克）,当归（15克）,白芍（15克）,白术（15克）,茯苓（15克）,生姜（15克）,薄荷（6克）,炙甘草（6克）"
清肝引经汤,清肝引经汤,经行吐衄,经行吐衄,肝经郁火证,清泻肝热,和解方,调和肝脾,"当归,白芍,地黄,牡丹皮,黄芩片,栀子,川楝子,川牛膝,茜草,白茅根,甘草"
丹栀逍遥散,丹栀逍遥散,肝脾血虚发热，或潮热晡热，或自汗盗汗，或头痛目涩，或怔忡不宁，或颊赤口干，或月经不调，或肚腹作痛，或小腹重坠，水道涩痛，或肿痛出脓，内热作渴,月经先期,肝郁血热证,养血健脾，疏肝清热,和解方,调和肝脾,"当归,白芍,茯苓,白术,柴胡,牡丹皮,栀子,甘草"
清热调血汤,清热调血汤,妇人经水将来，腹痛，乍作乍止，气血俱实,痛经,湿热瘀阻证,清热除湿，化瘀止痛,清热方,清营凉血,"当归,川芎,白芍,地黄,黄连片,香附,桃仁,红花,延胡索,牡丹皮,莪术"
清经散,清经散,肾中水亏火旺，经行先期量多者,月经先期,阳盛血热症,清热，凉血，止血,清热方,清脏腑热,"牡丹皮,地骨皮,酒白芍,熟地黄,青蒿,黄柏,茯苓"
保阴煎,保阴煎,阴虚血热之带下淋浊，血崩便血，月经提前,月经先期,血热证,养阴清热，凉血止血,清热方,清虚热,"地黄,熟地黄,黄芩片,黄柏,白芍,续断,甘草,山药"
理中丸,理中丸,1．脾胃虚寒证。脘腹绵绵作痛，喜温喜按，呕吐，大便稀溏，脘痞食少，畏寒肢冷，口不渴，舌淡苔白润，脉沉细或沉迟无力。2．阳虚失血证。便血、吐血、衄血或崩漏等，血色暗淡，质清稀。3．脾胃虚寒所致的胸痹；或病后多涎唾；或小儿慢惊等。（本方常用于急慢性胃肠炎、胃及十二指肠溃疡、胃痉挛、胃下垂、胃扩张、慢性结肠炎等属脾胃虚寒者。）,崩漏、行经吐衄,肾阳虚证,温中祛寒，补气健脾。,温里方,温中祛寒,"人参（15克）,干姜（15克）,白术（15克）,甘草（15克）,{原方丸剂各用90克}"
理中汤,理中汤,脾胃虚寒证，自利不渴，呕吐腹痛，腹满不食及中寒霍乱，阳虚失血，如吐血，便血或崩漏，胸痞虚证，胸痛彻背倦怠少气，四肢不温，现用于急，慢性胃炎，胃窦炎，溃疡病，胃下垂，慢性肝炎等属脾胃虚寒者,崩漏、行经吐衄,阳虚失血证,温中祛寒，补气健脾,温里方,温中祛寒,"人参,干姜,炙甘草,白术"
当归四逆汤,当归四逆汤,血虚寒厥证。手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝。（本方常用于血栓闭塞性脉管炎、无脉症、雷诺病、小儿麻痹、冻疮、妇女痛经、肩周炎、风湿性关节炎等属血虚寒凝者。）,痛经,血虚寒凝证,温经散寒，养血通脉。,温里方,温经散寒,"当归（12克）,桂枝（9克）,芍药（9克）,细辛（3克）,通草（6克）,大枣（8枚,擘[bo]）,炙甘草（6克）"
补中益气汤,补中益气汤,１．脾虚气陷证。饮食减少，体倦肢软，少气懒言，面色萎黄，大便稀溏，舌淡脉虚；以及脱肛，子宫脱垂，久泻久痢，崩漏等。２．气虚发热证。身热自汗，渴喜热饮，气短乏力，舌淡，脉虚大无力。（本方常用于内脏下垂、久泻、久痢、脱肛、重症肌无力、乳糜尿、慢性肝炎等；妇科之子宫脱垂、妊娠及产后癃闭、胎动不安、月经过多；眼科之眼睑下垂、麻痹性斜视等属脾胃气虚或中气下陷者。）,月经先期、崩漏,脾虚气陷证,补中益气，升阳举陷。,补益方,补气,"黄芪（18克）,炙甘草（9克）,人参（6克）,当归（3克）,橘皮（6克）,升麻（6克）,柴胡（6克）,白术（9克）"
安冲汤,安冲汤,妇人月经过多，过期不止，或不时漏下,月经过多,血气虚弱证,补气养血，固冲止血,补益方,补气,"黄芪,龙骨,牡蛎,地黄,白芍,海螵蛸,茜草,续断"
四物汤,四物汤,冲任虚损。月水不调，脐腹疼痛，崩中漏下。血瘕块硬，时发疼痛。妊娠胎动不安，血下不止，及产后恶露不下，结生瘕聚，少腹坚痛，时作寒热。,月经不调,血虚证,补血调血。,补益方,补血,"当归（10克）,川芎（8克）,白芍（12克）,熟地（12克）"
当归补血汤,当归补血汤,血虚阳浮发热证。肌热面赤，烦渴欲饮，脉洪大而虚，重按无力。亦治妇人经期、产后血虚发热头痛；或疮疡溃后，久不愈合者。（本方可用于妇人经期、产后发热等属血虚阳浮者，以及各种贫血、过敏性紫癜等属血虚气弱者。）,经行发热,虚热证,补气生血。,补益方,补血,"黄芪（30克）,当归（6克）"
归脾汤,归脾汤,１．心脾气血两虚证。心悸怔忡，健忘失眠，盗汗，体倦食少，面色萎黄，舌淡，苔薄白，脉细弱。２．脾不统血证。便血，皮下紫癜，妇女崩漏，月经超前，量多色淡，或淋漓不止，舌淡，脉细弱。（本方常用于胃及十二指肠溃疡出血、功能性子宫出血、再生障碍性贫血、血小板减少性紫癜、神经衰弱、心脏病等属心脾气血两虚及脾不统血者。）,崩漏、月经先期,脾不统血证,益气补血，健脾养心。,补益方,补血,"白术（3克）,当归（3克）,白茯苓（3克）,黄芪炒（3克）,远志（3克）,龙眼肉（3克）,酸枣仁炒,（3克）,人参（6克）,木香（1.5克）,炙甘草（1克）"
圣愈汤,圣愈汤,气血虚弱，气不摄血证。月经先期而至，量多色淡，四肢乏力，体倦神衰。,月经先期,气血两虚证,补气，补血，摄血。,补益方,补血,"熟地（20克）,白芍（15克）,川芎（8克）,人参（一般用潞党参20克）,当归（15克）,黄芪（18克）"
桃红四物汤（原名‘加味四物汤”）,桃红四物汤,血虚兼血瘀证。妇女经期超前，血多有块，色紫稠粘，腹痛等。,月经前期,血瘀证,养血活血。,补益方,补血,即四物汤加桃仁（9克）红花（6克）
小营煎,小营煎,阴虚血少，头晕心悸，面色萎黄，脉象细弱，妇女月经后期，量少色淡，小腹虚痛,月经后期,血虚证,养血，活血，调经,补益方,补血,"当归,熟地黄,酒白芍,麸炒山药,枸杞子,炙甘草,鸡内金,鸡血藤"
人参归脾丸,人参归脾丸,用于气血不足，心悸，失眠，食少乏力，面色萎黄，月经量少，色淡,月经过少,血虚证,益气补血，健脾养心,补益方,补血,"人参,黄芪,白术,茯苓,龙眼肉,炒酸枣仁,木香,炙甘草,当归,制远志,生姜,大枣,薏苡仁"
八珍益母汤,八珍益母汤,月经量少，色淡，经期错后,月经过少,血虚证,补气血，调月经,补益方,补血,"党参,炒白术,茯苓,酒当归,丹参,醋白芍,熟地黄,炙甘草,益母草,黄芪"
滋血汤,滋血汤,妇人皮聚毛落，心肺俱损，血脉虚弱，月水愆期,月经过少,血虚证,补血益气调经,补益方,补血,"人参,山药,黄芪,茯苓,川芎,当归,白芍,熟地黄"
定经汤,定经汤,妇人经来断续，或前或后无定期,月经先后无定期,肝郁肾虚,舒肝肾之气，补肝肾之精,补益方,补血,"酒当归,熟地黄,茯苓,麸炒山药,酒白芍,酒菟丝子,柴胡,荆芥炭"
四乌贼骨一蔗茹丸,四乌贼骨一蔗茹丸,女子血枯经闭,闭经,肾虚证,补肾活血，通补奇经,补益方,补血,"海螵蛸,茜草"
四物汤《仙》,四物汤《仙》,营血虚滞证。头晕目眩，心悸失眠，面色无华，妇人月经不调，量少或经闭不行，脐腹作痛，甚或瘕块硬结，舌淡，口唇、爪甲色淡，脉细弦或细涩。（本方常用于妇女月经不调、胎产疾病、荨麻疹以及过敏性紫癜等属营血虚滞者。）,月经过少、月经不调,血虚证,补血调血。,补益方,补血,"当归（9克）,川芎（6克）,白芍（9克）,熟干地黄（12克）"
八珍汤（八珍散）,八珍汤,气血两虚证。面色苍白或萎黄，头晕耳眩，四肢倦怠，气短懒言，心悸怔忡，饮食减少，舌淡苔薄白，脉细弱或虚大无力。（本方常用于病后虚弱、各种慢性病，以及妇女月经不调等属气血两虚者。）,月经不调,气血两虚证,益气补血。,补益方,气血双补,"人参（30克）,白术（30克）,白茯苓（30克）,当归（30克）,川芎（30克）,白芍药（30克）,熟地黄（30克）,炙甘草,（30克）"
十全大补汤,十全大补汤,气血两虚证。面色萎黄，倦怠食少，头晕目眩，神疲气短，心悸怔忡，自汗盗汗，四肢不温，舌淡，脉细弱；以及妇女崩漏，月经不调，疮疡不敛等。,月经不调、崩漏,气血两虚证,温补气血。,补益方,气血双补,"人参（6克）,肉桂（3克）,川芎（6克）,干熟地黄（12克）,茯苓（9克）,白术（9克）,甘草（3克）,黄芪（12克）,当归（9克）,白芍药（9克）"
左归丸,左归丸,真阴不足证。头晕目眩，腰酸腿软，遗精滑泄，自汗盗汗，口燥舌干，舌红少苔，脉细。（本方常用于老年性痴呆、更年期综合征、老年骨质疏松症、闭经、月经量少等属于肾阴不足，精髓亏虚者。）,闭经、月经过少,肾阴虚证,滋阴补肾，填精益髓。,补益方,补阴,"大怀熟地（240克）,山药（炒,120克）,枸杞（120克）,山茱萸（120克）,川牛膝（酒洗蒸熟,90克）,鹿角胶（敲碎,炒珠,120克）,龟板胶（切碎,炒珠,120克）,菟丝子（制,120克）"
两地汤,两地汤,阴虚血热证。症见月经先期而量少,月经先期,阴虚血热证,养阴清热，凉血调经,补益方,补阴,"酒地黄,玄参,地骨皮,麦冬,阿胶,酒白芍"
清海丸,清海丸,血热所致之崩漏，月经过多等症,月经过多、崩漏,血热证,滋阴养血，凉血止血,补益方,补阴,"山萸肉,熟地黄,山药,白术,白芍,牡丹皮,麦冬,五味子,桑叶,玄参,地骨皮,北沙参,干石斛,煅龙骨"
毓麟珠,毓麟珠,妇人气血不足，肝肾两虚，月经不调，或后错色淡，或量少腹痛，或淋沥不断，腰膝酸软，小腹冷痛，性欲减退，身体瘦弱，久不受孕等,月经不调,气血两虚证,补益气血，温养肝肾，强固冲任，调经助孕,补益方,补阳,"人参,土白术,茯苓,当归,炙甘草,酒白芍,川芎,熟地黄,盐菟丝子,酒杜仲,鹿角霜,花椒"
二仙汤,二仙汤,更年期综合征、高血压病、闭经以及其他慢性病见有肾阴阳两虚、虚火上扰者,绝经前后诸证,肾阴阳俱虚证,温肾阳，补肾精，泻肾火，调冲任,补益方,补阳,"仙茅,淫羊藿,巴戟天,当归,黄柏,知母"
益肾调经汤,益肾调经汤,妇女肾虚，经来色淡而多，经后腹痛腰酸，肢软无力，脉沉弦无力,痛经,肾阳虚证,温肾调经,补益方,补阳,"杜仲,续断,熟地黄,当归,白芍,益母草,艾叶炭,巴戟,乌药"
温胞饮,温胞饮,妇女宫寒不孕，月经后期等,月经后期,肾阳虚证,温补肾阳，养精益气,补益方,补阳,"菟丝子,巴戟天,补骨脂,肉桂,附片,人参,白术,芡实,山药"
七宝美髯丹,七宝美髯丹,肝肾不足，须发早白，齿牙动摇，梦遗滑精，崩漏带下，肾虚不育，腰膝酸软,崩漏,肝肾亏损证,补益肝肾，乌发壮骨,补益方,阴阳双补,"制何首乌,茯苓,牛膝,酒浸当归,酒浸枸杞子,酒浸菟丝子,黑脂麻拌炒补骨脂"
固经汤,固经汤,崩漏,崩漏,实热证,清热凉血，活血化瘀，益气固本，养血止血,固涩方,固崩止带,"黄柏,白芍,黄芩片,龟胶珠,阿胶,椿皮,香附,地榆,黄芪"
固经丸,固经丸,阴虚血热，月经先期，经血量多、色紫黑,月经先期,阴虚血热证,滋阴清热，固经止带,固涩方,固崩止带,"黄芩片,白芍,龟甲,楱皮,黄柏,香附"
正气天香散,正气天香散,治妇人一切气。症见心胸攻筑，胁肋刺痛，月经不调,月经不调,气滞证,疏肝理气,理气方,行气,"乌药,醋香附,陈皮,紫苏叶,干姜"
加味乌药汤,加味乌药汤,痛经。月经前或月经初行时，少腹胀痛，胀甚于痛，或连胸胁乳房胀痛，舌淡，苔薄白，脉弦紧,痛经,气滞血瘀证,活血调经止痛,理气方,行气,"乌药,香附,砂仁,木香"
良附丸,良附丸,肝郁气滞，胃有寒凝，脘腹疼痛，喜温喜按，成胸胁胀痛，或痛经，苔白，脉沉紧者,痛经,气滞血瘀证,行气和中，破积导滞,理气方,行气,"高良姜,香附"
桃核承气汤,桃核承气汤,瘀热蓄于下焦，少腹急结，大便色黑，小便自利，甚则谵语烦渴，其人如狂，至夜发热，及血瘀经闭，痛经，产后恶露不下，脉沉实或涩,闭经、痛经,气滞血瘀证,逐瘀泻热,理血方,活血祛瘀,"火单,桃仁,桂枝,大黄,芒硝,炙甘草"
血府逐瘀汤,血府逐瘀汤,上焦瘀血，头痛胸痛，胸闷呃逆，失眠不寐，心悸怔忡，瘀血发热，舌质暗红，边有瘀斑或瘀点，唇暗或两目暗黑脉涩或弦紧，妇人血瘀经闭不行，痛经，肌肤甲错，目晡潮热以及脱疽，白，眼科云雾移睛，青盲等目疾,闭经、痛经,气滞血瘀证,活血化瘀，行气止痛,理血方,活血祛瘀,"火单,桃仁,红花,当归,地黄,川芎,赤芍,牛膝,桔梗,柴胡,枳壳,甘草"
温经汤,温经汤,冲任虚寒，瘀血阻滞，月经不调，或前或后，或逾期不止，或一月再行，或经停不至，傍晚发热，手心烦热，唇口干燥，或小腹冷痛，久不受孕者,月经不调,寒凝血瘀证,温经散寒，养血祛瘀,理血方,活血祛瘀,"制吴茱萸,当归,白芍,川芎,人参,桂枝,阿胶,牡丹皮,生姜,甘草,法半夏,麦冬"
失笑散,失笑散,小肠气及心腹痛，或产后恶露不行，或月经不调少腹急痛,月经不调,血瘀证,活血化瘀，散结止痛,理血方,活血祛瘀,"酒五灵脂,生蒲黄"
桂枝茯苓丸,桂枝茯苓丸,妇人宿有症病，经断未及三月，而得漏下不止，胎动在脐上，月经困难，经停腹胀痛，难产，胎死腹中，胞衣不下产后恶露不尽而腹痛拒按者,月经不调,血瘀证,活血化瘀，缓消Y块,理血方,活血祛瘀,"桂枝,茯苓,牡丹皮,火单,桃仁,白芍"
少腹逐瘀汤,少腹逐瘀汤,少腹积块，疼痛或不痛，或痛而无积块，或少腹胀满，或经期腰酸，小腹胀，或月经一月见三五次，接连不断，断而又来，其色或紫或黑，或有血块，或崩或漏，兼少腹疼痛，或粉红兼白带者,痛经、崩漏,寒凝血瘀证,活血祛瘀，温经止痛,理血方,活血祛瘀,"盐小茴香,炒干姜,醋延胡索,醋没药,当归,麸炒苍术,川芎,肉桂,生蒲黄,炒五灵脂,赤芍"
大营煎,大营煎,真阴精血亏损，以及妇人经迟血少，腰膝筋骨疼痛，阳痿,月经后期、月经过少,肾虚证,温经扶阳，养血填精,理血方,活血祛瘀,"当归,熟地黄,枸杞子,炙甘草,盐杜仲,川牛膝,肉桂"
逐瘀止崩汤,逐瘀止崩汤,血瘀崩漏,崩漏,血瘀证,活血祛瘀，固冲止血,理血方,活血祛瘀,"当归,川芎,三七粉,丹参,醋没药,五灵脂,丹皮炭,艾叶炭,阿胶,蒲黄炭,煅龙骨,煅牡蛎,海螵蛸"
延胡索散,延胡索散,妇人气滞血瘀，脘腹胀痛，或经行腹痛,痛经,气滞血瘀证,活血行气，调经止痛,理血方,活血祛瘀,"醋延胡索,酒当归,炒蒲黄,赤芍,肉桂,醋乳香,醋没药,姜黄,木香,甘草"
理冲汤,理冲汤,妇女经闭不行，或产后恶露不尽，结为Y瘕，以致阴虚作热，阳虚作冷，食少劳嗽，室女月闭血枯，男子劳瘵，脏腑症瘕积聚，气郁脾弱，满闷痞胀，不能饮食,闭经,气滞血瘀证,祛瘀消积，补益气血,理血方,活血祛瘀,"黄芪,党参,白术,山药,天花粉,知母,三棱,醋莪术,鸡内金"
棕蒲散,棕蒲散,血瘀崩漏,崩漏,血瘀证,活血祛瘀，固冲调经,理血方,活血祛瘀,"棕榈炭,蒲黄炭,当归,川芎,地黄,炒白芍,牡丹皮,秦艽,泽兰,盐杜仲"
艾附暖宫丸,艾附暖宫丸,血虚气滞、下焦虚寒所致的月经不调、痛经,痛经、月经不调,气滞血瘀证,温经养血暖宫,理血方,活血祛瘀,"艾叶,香附,桂枝,当归,赤芍,续断,乌药,巴戟天,鸡血藤"
胶艾汤（又名：芎归胶艾汤）,胶艾汤,妇人冲任虚损，血虚有寒证。崩漏下血，月经过多，淋漓不止，产后或流产损伤冲任，下血不绝；或妊娠胞阻，胎漏下血，腹中疼痛。,月经不调、崩漏,肾阳虚证,养血止血，调经安胎。,理血方,止血,川芎（6克）阿胶（6克）甘草（6克）艾叶（9克）当归（9克）芍药（12克）干地黄（15克）
安老汤,安老汤,老年妇女肝脾两虚，肾水亏耗，月经已绝，忽而复行，或下紫血决，或下血淋漓如红血淋,经断复来,脾虚肝郁证,补气养血，固冲止血,理血方,止血,"人参,黄芪,土白术,酒当归,熟地黄,山萸肉,阿胶珠,芥穗炭,醋香附,木耳炭,甘草"
苍附导痰丸,苍附导痰丸,形盛多痰，气虚，至数月而经始行；形肥痰盛经闭；肥人气虚生痰多下白带,闭经,痰湿阻滞证,燥湿化痰，行滞调经,祛痰方,燥湿化痰,"茯苓,姜半夏,陈皮,甘草,麸炒苍术,醋香附,制天南星,麸炒枳壳,生姜,麸炒神曲"
丹溪治湿痰方,丹溪治湿痰方,痰湿阻滞，月经不调,月经不调,痰湿阻滞证,豁痰除湿，活血调经,祛痰方,燥湿化痰,"麸炒苍术,白术,姜半夏,茯苓,滑石粉,醋香附,川芎,当归"
开郁二陈汤,开郁二陈汤,气郁血闭，经闭不行,闭经,肝郁血瘀证,理气化痰，破瘀消Y,祛痰方,燥湿化痰,"姜半夏,陈皮,茯苓,麸炒青皮,川芎,醋莪术,木香,槟榔,麸炒苍术,甘草,生姜"
宣郁痛经汤,nan,妇人有经前腹疼数日，而后经水行者，其经来多是紫黑块，人以为寒极而然也。谁知是热极而火不化乎！……治法似宜大泻肝中之火，然泻肝之火，而不解肝之郁，则热之标可去，而热之本未除也，其何能益！方用宣郁痛经汤。,痛经,肝郁血瘀证,nan,祛痰方,燥湿化痰,"白芍五钱（酒炒）,当归五钱（酒洗）,丹皮五钱,山栀子三钱（炒）,白芥子二钱（炒研）,柴胡一钱,香附一钱（酒炒）,川郁金一钱（醋炒）,黄芩一钱（酒炒）,生甘草一钱。"
